rent	condominium	iptu	adress	area	room	car_space	bathroom	description	link
12000		2300	Avenida Doutor Eduardo Pereira de Almeida, Real Parque	2094				Excelente imóvel, esquina toda, sendo 7 lotes com as seguintes características:3 com frente para avenida com vocação comercial e 4 residenciais com frente para a rua interna do...	
2800	980	200	Rua dos Bandeirantes, Cambuí	96	3	2	3	Lindo apartamento para locação no bairro Cambuí em Campinas. Com mais de 90m² de área útil, o imóvel conta com living para 2 ambientes, sacada com vista de frente, cozinha ampla, á...	
600	370	48	Rua Antônio Rodrigues Moreira Neto, Jardim Paulicéia	58	2	1	1	Apartamento para Aluguel - Campos Elíseos, 2 Quartos, 58 - Campinas	
3900		365	Rua Hermínio Humberto Bertani, Jardim das Paineiras	277	6	3	5	Casa para locação Jardim Paineiras em Campinas-São Paulo. , sendo uma suíte5 banheiros1 salão de festas com 40m²Garagem para 3 carros277m² de área construída	
1600	650	130	Rua Ferreira Penteado, Cambuí	50	1	1	1	Apartamento para Aluguel - Cambuí, 1 Quarto, 50 - Campinas	
2500	720	138	Avenida Washington Luís, Vila Marieta	68	2	2	2	Apartamento para locação no Parque Prado. Condomínio Residencial Maison Renoir é bem equipado com diversas instalações, apropriado para quem busca lazer sem sair de casa muito bem...	
2200	290		Rua Piratininga, Chácara da Barra	75	2	2	2	Apartamento de primeira locação na Chacara da Barra, bem localizado com todo comércio próximo. Cozinha e dormitorios planejados,banheiros com box , área de serviço e quintal.Ag...	
952	350	158	Rua Manoel Herculano Marques de Fontes, Loteamento Parque São Martinho	65	2	1	1	Apartamento para Aluguel - Parque das Águas, 2 Quartos, 65 - Campinas	
1100	410	70	Parque Itália, Campinas	58	2	1	1	Lindo apartamento, 2 dormitórios completo de armários, cozinha planejada, área de serviço, todo piso laminado, painel TV, ventilador de teto, cortina, lazer, salão de festas, acade...	
4000		413	Avenida Doutor Manoel Afonso Ferreira, Jardim Santa Marcelina	330	5	2	5	Casa para Aluguel - Jardim Santa Marcelina, 5 Quartos, 330 - Campinas	
800	250	106	Avenida São José dos Campos, Loteamento Parque São Martinho	43	2	1	1	Apartamento para Aluguel - Parque das Águas, 2 Quartos, 43 - Campinas	
1160	200	93	Rua José Rodrigues Pinto de Carvalho, Jardim Chapadão	70	3	1	1	Apartamento para Aluguel - Jardim Chapadão, 3 Quartos, 70 - Campinas	
2800	490	150	Rua Célia Aparecida de Souza Bouffier, Barão Geraldo	150	3	2	2	Sobrado com 3 dormitórios, suite, todos com armários, sala para 2 ambientes, lavabo, sala de jantar, cozinha americana com armários, área de serviço com banheiro, quintal, 2 vagas...	
4500	920	3902	Rua Santos Dumont, Cambuí	130	3	3	4	Belíssimo apartamento para locação, bem localizado no Cambuí, bairro nobre de Campinas, próximo a comércios como, bancos, restaurantes e serviços. São 3 ótimas suítes com armários,...	
2512			Jardim Campos Elíseos, Campinas	300		2	2	Barracao/ C. Eliseos- voltado para área de serviços, como oficina mecanica, funilaria e pintura, reciclagem, 420 metros quadrados de terreno, 300m de área útil, boa localização.	
1500	670	85	Avenida Francisco Glicério, Vila Itapura	58	1	1	2	Apartamento para Aluguel - Vila Itapura, 1 Quarto, 58 - Campinas	
2457	1000	218	Rua Conceição, Cambuí	97	3	2	2	Apartamento para Aluguel - Cambuí, 3 Quartos, 97 - Campinas	
1550	540	75	Mansões Santo Antônio, Campinas	60	2	1	2	Ótimo apartamento com 2 dormitórios com armários, 1 banheiro social, sala para 2 ambientes com sacada, cozinha com armários, lavanderia com banheiro, 1 vaga de garagem. Área de laz...	
1000	519	85	Vila Industrial, Campinas	85	2	1	1	Apartamento para locação na Vila Industrial - Campinas. Amplo apartamento 85 m², andar alto, sala 2 ambientes, 2 dormitórios com armários, 1 banheiro, cozinha e lavanderia com armá...	
1200	306	86	Rua Vítor Meirelles, Jardim Samambaia	49	2	1	1	Apartamento para locação no Jardim Samambaia em Campinas, ótima localização próximo ao Extra e UnipVantagens do Imóvel:- Todos os móveis são novíssimos, em perfeito est...	
2300	450	150	Mansões Santo Antônio, Campinas	63	3	2	2	Apartamento para locação Mansões Santo Antonio - Campinas SP3 dormitórios sendo 1 suíte, (2 com armários embutido) cozinha planejada, 3 varandas, banheiro social, área de servi...	
3500		890	Vila Itapura, Campinas	160		4	2	Prédio comercial na Avenida Orozimbo Maia, próximo a Avenida Brasil. Proprietário vende ou aluga, separadamente térreo e piso superior, entradas individuais. Não aceita permuta. Va...	
1662		356	Centro, Campinas	60			2	Salão Comercial próximo a Rodoviária com 60 metros, 2 Banheiros.CRECI 05670-JIPTUValores calculados por terceiros, sujeitos a alterações. -	
9500		680	Rua Latino Coelho, Parque Taquaral	438	6	5	5	Excelente casa Comercial/Residencial com 06 amplos dormitórios, A/E, closet, 02 suítes, Wc social, ampla sala para 03 ambientes com pé direito de 5 ms, lareira, capela ecumênica, s...	
28000		1640	Parque Taquaral, Campinas	1113	5	15	10	Casa de Alto Padrão para locação, no Parque Taquaral em Campinas SP.Casa conta 4 suítes máster, closet, sala e varanda, 2 suítes com banheira de hidromassagem, Hall de entrada...	
3300	999	210	Rua Luiz Oliveira, Parque das Flores	114	3	2	4	Excelente apartamento 3 dormitórios com sala ampla dois ambientes, sacada com churrasqueira e pia; cozinha, corredor , quartos e banheiros com armários planejados e duas vagas cobe...	
910	450	38	Rua Joaquim Nunes do Amaral, Jardim Interlagos	60	2	1	1	Apartamento para Aluguel - Jardim Interlagos, 2 Quartos, 60 - Campinas	
1500		50	Jardim São Vicente, Campinas	45	1	1	1	Novíssimo apartamento de 01 dormitório sem armários no Bairro Jardim São Vicente, próximo da faculdade São Francisco, Unip, escolas, Banco, mercados, acesso fácil para o município...	
1500		50	Jardim São Vicente, Campinas	45	1	1	1	Novíssimo apartamento de 01 dormitório sem armários no Bairro Jardim São Vicente, próximo da Faculdade São Francisco, Unip, Bancos, escolas, acesso rápido para Valinhos contendo 01...	
2400	790	203	Vila Itapura, Campinas	147	3	1	2	Apartamento com 3 dormitórios sendo 1 suíte, podendo contar também com um ótimo quarto de empregada com banheiro, amplo e arejado living para 2 ambientes, dormitórios, copa, cozinh...	
2512			Jardim Campos Elíseos, Campinas	300		2	2	Barracao/ C. Eliseos- voltado para área de serviços, como oficina mecanica, funilaria e pintura, reciclagem, 420 metros quadrados de terreno, 300m de área útil, boa localização.	
2200	341	95	Avenida Imperatriz Leopoldina, Vila Nova	60	2	1	2	APARTAMENTO NA VILA NOVA EM CAMPINAS ALUGA.Quinto andar.Sem mobília.Sala com sacada.02 dormitórios sendo 01 suíte com armário.Cozinha com armário.01 vaga de...	
135000	10474	39244	Rua Alfredo Vieira Alves, Terminal Intermodal de Cargas TIC	5830		30		GALPAO CROSS DOCKING 38 DOCAS (sendo 18 para carretas), IMÓVEL ÚNICO, PARA SUPRIR AS NECESSIDADES DE GRANDES EMPRESAS LOGÍSTICAS OU TRANPORTES NA GRANDE CAMPINAS; venham conferir a...	
1500	405	74	Residencial Parque da Fazenda, Campinas	60	3	1	2	Lindo apartamento, térreo, impecável, ótimo acabamento. 3 quartos com armários, ar condicionado sala e suite, suite com hidro, banheiro social completo aquecedor a gás, sala visita...	
1000	519	85	Vila Industrial, Campinas	85	2	1	1	Apartamento para locação na Vila Industrial - Campinas. Amplo apartamento 85 m², andar alto, sala 2 ambientes, 2 dormitórios com armários, 1 banheiro, cozinha e lavanderia com armá...	
1200	306	86	Rua Vítor Meirelles, Jardim Samambaia	49	2	1	1	Apartamento para locação no Jardim Samambaia em Campinas, ótima localização próximo ao Extra e UnipVantagens do Imóvel:- Todos os móveis são novíssimos, em perfeito est...	
1000	482	555	Jardim Paulicéia, Campinas	60	2	1	1	Excelente andar alto sol da manha, bem arejado, 2 dormitórios, banheiro social, cozinha planejada, área de serviço e despensa, condomínio com portaria 24 horas, lazer com piscina,...	
2300	450	150	Mansões Santo Antônio, Campinas	63	3	2	2	Apartamento para locação Mansões Santo Antonio - Campinas SP3 dormitórios sendo 1 suíte, (2 com armários embutido) cozinha planejada, 3 varandas, banheiro social, área de servi...	
3500		890	Vila Itapura, Campinas	160		4	2	Prédio comercial na Avenida Orozimbo Maia, próximo a Avenida Brasil. Proprietário vende ou aluga, separadamente térreo e piso superior, entradas individuais. Não aceita permuta. Va...	
1040	580		Rua Floriano Camargo Penteado, Ponte Preta	70	2	1	2	Apartamento para Aluguel - Ponte Preta, 2 Quartos, 70 - Campinas	
2300	400	1261	Parque Itália, Campinas	55	2	2	2	Excelente apartamento, em frente ao Mario Gatti, andar alto, primeiro aluguel, ótima localização na Avenida das Amoreiras; um dos principais eixos viários de Campinas. Fácil acesso...	
850	260	59	Rua Nazareno Mingoni, Jardim do Lago	49	2	1	1	Apartamento para Aluguel - Jardim do Lago, 2 Quartos, 49 - Campinas	
4300	1300	368	Rua Major Solon, Cambuí	126	3	2	3	Apartamento para Aluguel - Cambuí, 3 Quartos, 126 - Campinas	
1350	550	80	Rua Izabel Negrão Bertotti, Mansões Santo Antônio	50	2	1	1	Apartamento para Aluguel - Mansões Santo Antônio, 2 Quartos, 50 - Campinas	
1200	370	66	Rua Luiz Dionísio de Souza, Jardim Myrian Moreira da Costa	50	2		1	Apartamento para Aluguel - Ambiance Residence, 2 Quartos, 50 - Campinas	
1600	700	75	Rua Alferes Pedro de Souza, Parque Industrial	75	3	2	2	Apartamento para Aluguel - Parque Industrial, 3 Quartos, 75 - Campinas	
1900	544	80	Mansões Santo Antônio, Campinas	68	3	1	2	Excelente apartamento, 3 dormitórios, sendo 1 suíte, 2 com armários, sala ampla 2 ambientes com sacada, banheiro social, cozinha planejada, área de serviço, 1 vaga de garagem cober...	
1800	695	114	Rua Rafael Sampaio, Guanabara	75	3	2	3	Ótimo apartamento contendo 3 dormitórios sendo 1 suíte. Armários embutidos nos dormitórios, sala para 2 ambientes com lavabo e sacada, cozinha planejada, ampla área de serviço. Ban...	
2700	626	154	Rua Hermantino Coelho, Mansões Santo Antônio	133	3	3	3	Excelente cobertura em Mansões Santo Antônio, Oportunidade, impecável, excelente localização próximo as faculdades e centro comercial, fácil acesso as principais rodovias e ao cent...	
4200		372	Rua Mário Galante Júnior, Taquaral	300	4	3	5	Ótimo sobrado em ótima localização.Piso Inferior: lavabo, escritório com banheiro, 3 salas, 1 suíte, cozinha planejada e lavanderia fechada com ampla despensa, quintal gramado...	
2000	903	98	Parque Taquaral, Campinas	112	3	3	3	Aluguel - Excelente apartamento à 300 metros da Lagoa do Taquaral! São 3 dormitórios muito espaçosos, sendo 1 suíte, todos os dormitórios com armários planejados, 3 banheiros, send...	
1500	37821	141	Avenida Antônio Carlos Couto de Barros, Sousas	40		1	1	Sala para alugar em Souzas, excelente localização para sua empresa. Sala comercial em prédio comercial novo e charmoso, 40 m² com wc e copa, vista para um jardim, com piso laminado...	
1500	37821	143	Avenida Antônio Carlos Couto de Barros, Sousas	40		1	1	Z11. Sala para alugar em Souzas, excelente localização para sua empresa. Sala comercial em prédio comercial novo e charmoso, 40 m² com wc e copa, vista para um jardim, com piso lam...	
2100	750		Chácara Cneo, Campinas	92	3	2	2	APARTAMENTO VILLE DE FRANCEApartamento para locação no Condomínio Ville de France Residence.Um imóvel impecável de 92m2, com 3 dormitórios sendo uma suite, cozinha...	
1650	577	41	Rua Francisco Mesquita, Vila Brandina	66	1	2	1	Apartamento para Aluguel - Vila Brandina, 1 Quarto, 66 - Campinas	
1950	615	150	Centro, Campinas	100	2	1	2	Aluga-se apartamento de 2 dormitórios no centro! São dois dormitórios, banheiro privativo, lavabo, sala para 2 ambientes, cozinha, área de serviço. Ventiladores de teto nos qua...	
1190			Rua Sargento João Francisco Caprio, Parque Residencial Vila União	55	2	1	1	Venha morar no Parque Residencial Vila União em Campinas SPApartamento no 1o andar (pequeno lance de escada), com iluminação natural, vaga de garagem privativa. 55m2 com 2...	
2300	510	151	Rua Bernardo José Sampaio, Botafogo	61	1	1	2	Apartamento mobiliado disponível para venda e locação no bairro Botafogo. O Stage Concept Living é um residencial moderno em Campinas, em um local bem residencial, ao lado de toda...	
1900	300		Rua Alzira Marcondes, Jardim Ipaussurama	65	3	1	2	Ótima localização, próximo a Shopping Center, Hospital e com acesso fácil ao Centro da cidade.Apartamento NOVO com 3 dormitórios com armários, sendo uma suite, sala de estar co...	
2200	400	100	Guanabara, Campinas	58	2	2	2	Apartamento para Aluguel - Guanabara, 2 Quartos, 58 - Campinas	
2400	860	180	Guanabara, Campinas	115	3	2	2	Apartamento para Aluguel - Guanabara, 3 Quartos, 115 - Campinas	
2000	850	103	Rua Germânia, Bonfim	109	3	2	3	Apartamento para Aluguel - Bonfim, 3 Quartos, 109 - Campinas	
3500	385	64	Rua Heitor Ernesto Sartori, Santa Genebra	58	2	1	1	Apartamento para Aluguel - Santa Genebra, 2 Quartos, 58 - Campinas	
3260	570	170	Rua Oscar Leite, Ponte Preta	65	2	2	2	Apto. novo para locação mobiliado. primeira locação. Com fogão coifa, geladeira, microondas, cama de casal box (Queen) , rack para TV e cortinas nos dormitórios e no living. Tudo n...	
1090	326		Rua São Carlos, Vila Industrial	40	1	1	1	Apartamento para Aluguel - Vila Industrial, 1 Quarto, 40 - Campinas	
2900	650	175	Centro, Campinas	70	2	1	2	Apartamento para Aluguel - Centro, 2 Quartos, 70 - Campinas	
2012		135	Bonfim, Campinas	180			2	Ótimo Salão, 180 mts com 02 Banheiros, Cozinha com Churrasqueira e Dispensa.CRECI 05670-J.IPTUValores calculados por terceiros, sujeitos a alterações. -	
2000	520	138	Rua Barão Geraldo de Resende, Botafogo	61	2	1	2	APARTAMENTO NO BOTAFOGO EM CAMPINAS ALUGA.Décimo quinto andar.Sala com sacada. Varanda Gourmet.02 dormitórios com armários sendo 01 suíte.Cozinha com armário.	
980	390	81	Rua Martinópolis, Vila Pompéia	54	2	1	1	Apartamento para alugar na Vila Pompéia em Campinas. Localizado próximo a Av Das Amoreiras, supermercado Dia e com fácil acesso as principais rodovias. 2 dormitórios, 1 com guarda...	
2500	380	90	Rua Monsenhor Agnaldo José Gonçalves, Vila Proost de Souza	64	2	1	2	Lindo apartamento para locação em andar alto com 2 quartos sendo um suíte no Condomínio Essence Campinas que fica ao lado do Shopping Unimart, supermercado Enxuto, e próximo à Pucc...	
1200	503	55	Vila Nova, Campinas	75	3	1	2	Confortável apartamento com 3 dormitórios com armários planejados no bairro Vila Nova, rua tranquila e sem movimento, próximo de escolas, mercados, bancos, restaurantes e saída par...	
9500		680	Rua Latino Coelho, Parque Taquaral	438	6	5	5	Excelente casa Comercial/Residencial com 06 amplos dormitórios, A/E, closet, 02 suítes, Wc social, ampla sala para 03 ambientes com pé direito de 5 ms, lareira, capela ecumênica, s...	
2600			Barão Geraldo, Campinas	40	1	1	1	-	
4200	2870	485	Cambuí, Campinas	284	4	3	5	Apartamento 4 dormitórios com 284 m² no coração do Cambuí.Excelente apartamento com 4 dormitórios sendo 2 suíte, excelente varanda, riquíssimo em armários planejados, livin...	
8000		747	Nova Campinas, Campinas	484	4	4	5	Nova Campinas - Campinas - Casa para alugar Nova Campinas ótima localização de esquina - 3 salas, 4 dormitórios sendo todas Suítes 1 com closet,1 wc social, sauna desativada,cozinh...	
2310	458	72	Rua José Luiz Camargo Moreira, Mansões Santo Antônio	63	2	1	2	Apartamento no Opera House, com 2 quartos sendo uma suíte, quartos com armários, banheiros com box, cozinha no estilo americana rica em armários, e sala com sacada.Com sol da m...	
2200	754	119	Rua Clóvis Bevilacqua, Guanabara	101	3	2	2	Apartamento para Aluguel - Guanabara, 3 Quartos, 101 - Campinas	
1180	432	33	Rua Padre Francisco de Abreu Sampaio, São Bernardo	50	3	1	1	Apartamento para Aluguel - São Bernardo, 3 Quartos, 50 - Campinas	
2750	460	160	Cambuí, Campinas	57	1	1	2	Excelente apartamento localizado na região do Cambuí, Edifício Wide com fácil acesso às principais avenidas como Orozimbo Maia e Norte Sul. Em andar alto, rico em armários, conta c...	
1800	490	84	Rua Augusto Emílio Zaluar, Jardim Chapadão	58	2	1	2	Belissimo e novo apartamento para venda ou locação, Jardim Chapadão, Campinas SP.Excelente localização, com 58 m² oferece 1 sala para 2 ambientes com sacada e uma bela vista, 2...	
1800	490	84	Rua Augusto Emílio Zaluar, Jardim Chapadão	58	2	1	2	Belissimo e novo apartamento para venda ou locação, Jardim Chapadão, Campinas SP.Excelente localização, com 58 m² oferece 1 sala para 2 ambientes com sacada e uma bela vista, 2...	
3950	780	298	Rua Dona Prisciliana Soares, Cambuí	78	3	2	2	Apto andar alto vista panorâmica, primeira locação. Ampla varanda gourmet com painel em vidros deslizante, sala para dois ambientes, sol da manhã. 03 quartos, sendo um suíte, sala...	
3300	650	170	Rua Doutor José Teodoro de Lima, Cambuí	70	1	1	1	Belíssimo apartamento totalmente mobiliado, para venda ou locação, Cambuí, Campinas/SP. Localização privilegiadíssima, ótima oportunidade para investidores, todo equipado e decorad...	
900	300		Rua Padre Bernardo da Silva, São Bernardo	75	2	1	1	Apartamento para Aluguel - São Bernardo, 2 Quartos, 75 - Campinas	
1650	400	105	Rua Hermantino Coelho, Mansões Santo Antônio	65	3	2	2	Excelente apartamento disponível para locação com:3 dormitórios (1 suíte), cozinha americana integrada à área de serviço com armários planejados. 2 vagas de garagem em gaveta.	
3200	407	1549	Cambuí, Campinas	57	1	1	2	Ícone de Campinas, apartamento único, repaginado, localização privilegiada, andar alto, acabamento fino e mobiliado.Living climatizado integrado à varanda com vista panorâm...	
1500	325	129	Rua Kokira, Jardim Amazonas	51	2	1	1	EXCELENTE Apartamento mobiliado, com sala, cozinha, área de serviço, 02 dormitórios com armários, wc com gabinete, piso frio, condomínio com salão de festas, quadra poli esportiva...	
1700	350	90	Avenida Imperatriz Leopoldina, Vila Nova	64	2	1	2	Apartamento para locação no bairro Vila Nova, 02 dormitórios sendo uma suíte, Living para dois ambientes, sacada, cozinha com gabinete e armários, cores claras, pintura nova, piso...	
2700	690	129	Avenida Nossa Senhora de Fátima, Taquaral	94	3	1	3	Apartamento para locação, Taquaral CampinasExcelente localização proximo a Lagoa do Taquaral, rico em comércios. Total conveniência, um dos poucos empreendimentos de Campin...	
1900	507	73	Mansões Santo Antônio, Campinas	65	2	2	2	Lindo apartamento, sol da manhã, fácil acesso ao Colégio Elite, Puc e Unicamp, 02 dormitórios com armários sendo 01 suíte com box blindex e gabinete, ventilador de teto, banheiro s...	
1950	107777	180	Rua Maria Monteiro, Cambuí	90	2	2	2	Apartamento para locação no Cambuí, Campinas. Lindo apartamento duplex, mobiliado, em ótimo ponto no Cambuí, sala ampla dois ambientes com pé direito duplo, cozinha planejada, lava...	
2000		133	Rua do Professor, Jardim Proença I	157	3	2	2	Excelente casa, ampla sala, copa, cozinha com armário embutido, 3 quartos com armário, sendo 1 suíte, 2 wc, garagem coberta para 2 carros. Próximo a mercado, faculdade, lotérica, b...	
2500	690	1500	Jardim Belo Horizonte, Campinas	68	2	1	2	Condomínio Vista 26Apartamento para alugar no Taquaral em Campinas, apenas alguns minutos da Lagoa.* Apartamento sala 2 ambientes, sol da manhã e andar intermediári...	
1100	333	495	Vila Industrial, Campinas	50	2	1	1	Excelente apartamento na Vila Industrial em Campinas.  Bem localizado proximo ao tunel joá penteado com vias de acesso facil ao centro e demais regioes.  Possui diversos co...	
2350	501	89	Rua Quirino do Amaral Campos, Cambuí	70	2	1	2	Apartamento mobiliado para locação no Cambuí. Com 2 quartos espaçosos, sendo 1 suíte, sala para dois ambientes com cozinha integrada com armários, 3 banheiros, cozinha espaçosa e i...	
1650	669	165	Rua Avelino Silveira Franco, Sousas	39		1	1	Localização excelente! Próximo da Rodovia D. Pedro, continuação da Av. Moraes Sales!Sala bem conservada com divisórias em vidro, piso porcelanato e dois ares-condicionados...	
2100	438	120	Avenida Imperatriz Leopoldina, Vila Nova	70	3	2	2	Rico em armários planejados,semi mobilado com 3 dormitórios 01 suíte, 2 vagas, Localizado a 900 metros da Lagoa do Taquaral,ao lado do MackenzieCondomínio com mais de 50 itens...	
8500		650	Vila Nova, Campinas	320			2	Barracão ,Av.Carolina Florence ,Excelente para oficina ,lojas e comercio em geral , em termino de pintura ,mezanino ,escritório ,copa ,3 banheiros ,4 vagas de garagem com 320 M2 co...	
1700	575	90	Rua Hermantino Coelho, Mansões Santo Antônio	70	3	1	2	Ótimo apartamento para venda ou locação no Mansões Santo Antonio, semi-mobiliado, rico em móveis planejados, andar alto, com sacada na sala e na suíte. Possui 3 dormitórios e 2 ban...	
1450	673	110	Rua Buarque de Macedo, Vila Nova	80	3	1	2	Ótimo apartamento para locação no Jardim Guanabara, Campinas/SP. Localização privilegiada próximo à faculdade Mackenzie, supermercado Oba e Pão de Açúcar, comércios. Andar alto, so...	
1450	673	110	Rua Buarque de Macedo, Guanabara	80	3	1	2	Ótimo apartamento para locação no Jardim Guanabara, Campinas/SP. Localização privilegiada próximo à faculdade Mackenzie, supermercado Oba e Pão de Açúcar, comércios. Andar alto, so...	
1450	673	110	Rua Buarque de Macedo, Guanabara	80	3	1	2	Ótimo apartamento para locação no Jardim Guanabara, Campinas/SP. Localização privilegiada próximo à faculdade Mackenzie, supermercado Oba e Pão de Açúcar, comércios. Andar alto, so...	
1550	520	85	Rua Benedita Amaral Pinto, Santa Genebra	60	3	1	2	Apartamento para Aluguel - Santa Genebra, 3 Quartos, 60 - Campinas	
4500	750	180	Centro, Campinas	70	2	1	2	Condomínio MaxHaus Cambuí IMuito bem posicionado no bairro, rua tranquila e com proximidade de todas as conveniências que o bairro com a melhor infraestrutura de Campinas o...	
2400	306	98	Rua Argentina, Parque Prado	116	3	1	3	Apartamento para Aluguel - Parque Prado, 3 Quartos, 116 - Campinas	
4500		504	Avenida Estados Unidos, Jardim Nova Europa	363	4	6	5	Excelente sobrado no Jardim Nova Europa, localizada em avenida de fácil acesso, na região da Praça Panamericana.Próximo à padaria, supermercado, farmácia, escolas e outros comé...	
2700	690	128	Avenida Nossa Senhora de Fátima, Taquaral	94	3	1	2	Apto com três dormitórios, sendo 1 suite, sala em L com ar condicionado. Totalmente reformado, armários embutidos em todos os cômodos. Lazer completo com lanchonete, quadra poliesp...	
1950	513	73	Rua Benedita Amaral Pinto, Jardim Santa Genebra	54	2	1	3	APARTAMENTO NO JARDIM SANTA GENEBRA EM CAMPINAS ALUGA.Primeiro andar.Semi mobiliado.Sala com sacada.02 dormitórios com armários sendo 01 suíte.Cozinha com armár...	
2500	380	90	Rua Monsenhor Agnaldo José Gonçalves, Vila Proost de Souza	64	2	1	2	Lindo e impecável apartamento para locação ao lado do Shopping Unimart.Muito bom gosto e qualidade no acabamento e decoração.Amplo living para 2 ambientes integrados co...	
2700	690	129	Avenida Doutor Heitor Penteado, Taquaral	94	3	1	3	Excelente localização, apartamento de 3 quartos com armários embutidos sendo 1 suíte, ampla sala 2 ambientes com sacada, armários planejada, área de serviço com banheiro e 1 vaga d...	
3800		170	Centro, Campinas	150			2	SALA COMERCIAL PARA LOCAÇÃOSala comercial para locação, na área central de Campinas, na Rua José Paulino.Com área total de 150m2, divididas em loja com 75m2 e sobreloja...	
1850	460	110	Rua José Luiz Camargo Moreira, Mansões Santo Antônio	75	2	2	2	Lindo Apartamento para Locação no Mansões Santo Antônio!!Imóvel possui 2 dormitórios sendo 1 suite, ambos com armários planejadosSala ampla e arejada com sacadaCozi...	
900	72718	160	Rua Doutor Antônio Álvares Lobo, Botafogo	40		1	1	Sala comercial de 40 m² no Botafogo. Prédio ao lado da Av Barão de Itapura, lavabo, portaria automatizada, estacionamento, salas para reuniões, podendo ser interligada com outra sa...	
2300	700	200	Rua Dona Josefina Sarmento, Cambuí	64	2	2	3	Situado em um condomínio novo e muito bem localizado no Cambuí, esse apartamento possui 2 suítes com armários, cozinha planejada e duas vagas de garagens cobertas. Em lindo condomí...	
1150	440	671	Rua Doutor João Quirino do Nascimento, Jardim Boa Esperança	70	2	2	2	Apartamento com 2 quartos sendo 1 suíte, banheiro social, sala 2 ambientes, sacada, cozinha e área de serviço.Condomínio com salão de festas e playground.Mais infor...	
1580	500	77	Mansões Santo Antônio, Campinas	69	3	1	2	Lindo apartamento em excelente localização na Chácara Primavera, próximo a farmácias, mercados, escolas, faculdades. São 3 dormitórios, sendo 1 suíte e um banheiro social, estilo l...	
1950	513		Rua Benedita Amaral Pinto, Jardim Santa Genebra	54	2	1	2	APARTAMENTO NO JARDIM SANTA GENEBRA EM CAMPINAS ALUGA.Primeiro andar.Semi mobiliado.Sala com sacada.02 dormitórios com armários sendo 01 suíte.Cozinha com armár...	
2537	1045	218	Rua Doutor Emílio Ribas, Cambuí	99	3	2	3	Apartamento para Aluguel - Cambuí, 3 Quartos, 99 - Campinas	
2600	930		Cambuí, Campinas	104	3	2	3	Excelente apartamento de 3 dormitórios sendo 1 suíte repleto de AE, sala ampla com 2 ambientes, sacada, cozinha planejada com entrada independente, lavabo, área de serviço com Wc e...	
1950	700	900	Avenida José Rocha Bomfim, Loteamento Center Santa Genebra	40		1	1	Praça Capital 40M² PRonta para uso 1 vaga + 1wc Piso elevado porcelanato Forro com iluminação Ar condicionado.Jardim externo de uso privativo também...	
52320	11118	8142	Avenida Carlos Grimaldi, Jardim Conceição	654		24	12	Conjunto comercial para locação no Galleria Corporate II em Campinas. Localizada em um dos principais edifícios corporativos da região, o Galleria Corporate possui acesso direto ao...	
20000	1360	1302	Avenida Enílson José Coghi, Loteamento Mont Blanc Residence	307	3	4	5	** TOTALMENTE TÉRREA **A PERFEITA SINTONIA DE TRANQUILIDADE ALIADA A EXCELENTE LOCALIZAÇÃO.São 3 suítes completas e climatizadas, 1 master com closet, hall privativo com ro...	
2900	650	175	Centro, Campinas	70	2	1	2	Apartamento para Aluguel - Centro, 2 Quartos, 70 - Campinas	
2500	380	90	Rua Monsenhor Agnaldo José Gonçalves, Vila Proost de Souza	64	2	1	2	Lindo apartamento para locação em andar alto com 2 quartos sendo um suíte no Condomínio Essence Campinas que fica ao lado do Shopping Unimart, supermercado Enxuto, e próximo à Pucc...	
1110	586	58	Avenida General Carneiro, Ponte Preta	65	2	1	1	Apartamento para Aluguel - Ponte Preta, 2 Quartos, 65 - Campinas	
2600		53	Cidade Universitária, Campinas	120	3	3	3	Cidade Universitária 01 - 300 metros da UnicampTérrea com 3suítes com armários embutidos;Banheiros com box de vidro;Sala de estar:Cozinha com gabinete;Portã...	
3300	558	173	Rua Oscar Leite, Ponte Preta	66	2	2	2	Apartamento para Alugar em campinasApartamento MobiliadoApartamento em CampinasImobiliária em CampinasApartamento mobiliado, Condomínio recém entregue, lazer Co...	
1550	650	99	Rua Pedro Vieira da Silva, Jardim Santa Genebra	75	3	1	1	Excelente apartamento com sol da manhã, localizado no bairro jardim Santa Genebra, próximo ao shopping dom Pedro, com fácil acesso a supermercados, farmácias e lojas de conveniênci...	
8000		747	Nova Campinas, Campinas	484	4	4	5	Nova Campinas - Campinas - Casa para alugar Nova Campinas ótima localização de esquina - 3 salas, 4 dormitórios sendo todas Suítes 1 com closet,1 wc social, sauna desativada,cozinh...	
1600	450		Rua Daciano Ribeiro Rocha, Barão Geraldo	120	2	1	2	Aluga-se casa sobrado de dois dormitórios com closet , banheiro social, parte superior, lavabo, sala de estar, cozinha , área de serviço, quintal e uma vaga de garagem. Incluso con...	
2100	438	119	Avenida Imperatriz Leopoldina, Taquaral	70	3	2	2	APARTAMENTO NO BAIRRO TAQUARAL, PARA LOCAÇÃO, BEM LOCALIZADO COM O3 DORMITÓRIOS COM ARMÁRIOS, SENDO 01 SUITE COM BLINDEX E ARMÁRIOS, WC SOCIAL BLINDEX E ARMÁRIOS, COZINHA PLANEJADA...	
2310	458	72	Rua José Luiz Camargo Moreira, Mansões Santo Antônio	63	2	1	2	Apartamento no Opera House, com 2 quartos sendo uma suíte, quartos com armários, banheiros com box, cozinha no estilo americana rica em armários, e sala com sacada.Com sol da m...	
